feature,Baseline (C=1e6),L2 (C=1.0),L1 (C=1.0)
chem_mw,100.22828799135924,-0.11542652375941753,0.0
chem_mordred_MW,-63.45874215723445,-1.041132758449892,-0.8642963870881575
chem_mordred_Sm,-54.36468898467096,-1.0313709093845662,-0.6256717487082557
chem_mordred_SZ,-50.240440205087395,-1.8458611737091555,-3.1488331291048444
chem_mordred_ATS0Z,37.35486751114164,-0.6612856227410465,-0.44870436684168874
chem_mordred_ATS1d,34.057744685919374,-0.24399151797759988,0.0
chem_mordred_ABC,-31.129494138401235,-1.39739842490262,-0.4107062646328002
chem_mordred_MPC3,-28.632520266710948,-0.9985494663818244,-1.6763108478888318
chem_mordred_ATS3Z,27.26018269626685,1.0627543233537655,0.6731199256524492
chem_mordred_Xp-2d,23.23579400885264,0.60138889388356,0.0
chem_mordred_Xp-3d,21.47216652380042,1.885892510848836,3.2815829639570318
chem_mordred_ATS3m,-20.998008519755523,-0.2296438043727407,0.0
chem_mordred_LabuteASA,19.422900267461344,1.8888886193494465,1.50274783528942
chem_mordred_nHeavyAtom,19.35061616074829,1.5094410152181608,2.1213737344557697
chem_pcp_heavy_atom_count,19.35061616074829,1.5094410152181608,1.954283011998816
chem_mordred_ATS2v,-19.110678475604708,-0.3892087622641999,0.0
chem_mordred_ATS2p,18.341715402716073,3.921507278649359,6.6410516166127325
chem_mordred_ATS0m,-17.63416683588081,-0.31388464311668485,0.0
chem_mordred_ATS1Z,16.195582064610885,0.05487016239059349,0.0011914154824702913
chem_mordred_ATS5Z,-14.10354134936678,-1.4485930132363645,-1.8109460579925487
chem_mordred_ATS0d,-12.911606464658263,-0.6849976670250744,0.0
chem_mordred_ATS3p,-12.575895239728895,-1.4985250004615838,-2.8924124359201135
chem_mordred_ATS5m,12.479621825240358,1.4428609069337601,1.7840009291890837
chem_mordred_ATS2Z,12.19215244875161,1.5711251981766645,0.715392174069887
chem_mordred_ATS1v,-11.41618028788511,-1.7468401241369622,-1.975456522447028
chem_mordred_ATS4Z,11.370994560595884,1.318735605810604,1.359783998105906
chem_mordred_ATS2m,-10.84306492796243,-0.48375692165960477,-0.05842583560678113
chem_mordred_Xpc-5d,10.126079320391929,1.8402642843525827,4.140503006148491
chem_mordred_ATS4m,-10.107969482274326,-0.84722136469135,-0.9619562268535193
chem_mordred_NsCl,-9.904723027880435,-2.6458970480668347,-4.816849036242208
chem_mordred_Sv,9.18235057776977,-1.4349814720063756,-1.593991678124738
chem_mordred_MPC4,8.896820609696068,-0.729527403121368,-2.1312867967409725
chem_mordred_SsCl,8.890950837826262,1.9408140386213755,3.42043196118027
chem_mordred_ATS1m,-8.739891994950188,0.49120572009152835,0.6365775625491392
chem_mordred_MPC6,-8.61040510064002,-0.7879694604039996,0.0
chem_mordred_MPC2,-7.754917609100576,1.9980307836542281,3.4843428774078373
chem_mordred_MPC7,7.667105391863326,-0.3146012853165086,0.0
chem_mordred_TMWC10,-3.008425304320255,-4.588154150073733,-7.1750660604615115
chem_mordred_Xpc-4d,-7.03587858178448,-2.3958675337270576,-3.8570813493732525
chem_mordred_MPC5,-6.64484713683337,-1.2821957180654382,-2.124924274086664
chem_mordred_Zagreb1,-6.580790435894244,1.4935406131955644,1.6149503478126532
chem_mordred_Xp-6d,6.026887737417655,1.4362066447063804,1.1936637662209562
chem_mordred_VMcGowan,5.90807651269255,1.616077609033406,0.6670412497725389
chem_mordred_Xp-4dv,5.905272377970781,3.5648430669726507,4.65954980871316
chem_mordred_ZMIC3,5.891814766750799,2.529116064513573,3.1314701603315442
chem_mordred_Xp-3dv,-5.56732406664443,-0.5691486167822917,-1.4105396531181005
chem_mordred_Xp-5d,5.353277283692473,2.5494460347781316,3.9363084218230053
chem_mordred_ZMIC4,-4.878742377572765,-1.781681530327302,-2.346365837303749
chem_mordred_Xpc-6d,-4.515257484189856,-1.5352492495727101,-2.6664776418063645
chem_mordred_MIC4,-4.512817230948092,0.25099396367366456,0.0
chem_mordred_apol,-4.509736002276467,-0.1525343092947138,-0.13234101325790593
chem_mordred_Sp,-4.5097360019713095,-0.1525343092945998,-0.01600691869364477
chem_mordred_nBondsO,-4.482579036944872,0.6255383581457259,0.0
chem_mordred_MWC01,-4.482579036944872,0.6255383581457259,0.0
chem_mordred_SMR,3.5988985741026367,2.971858294306773,4.36790518773606
chem_mordred_Zagreb2,3.79326008457077,0.8385422685908431,0.0
chem_mordred_MIC3,3.7533149667482015,0.5129582783447947,0.8839936720546733
chem_mordred_nX,3.5159166007568547,0.16612509377109075,0.06153115387465282
chem_mordred_Xp-2dv,-3.474754469823348,-1.3874309962511355,-1.7026023894514142
chem_mordred_SRW02,1.6349049587893956,1.8867374201001221,3.325875171991964
chem_mordred_ATS1p,3.277848220129801,-2.0573693461576097,-2.985785742957774
chem_mordred_BertzCT,-2.21919470111359,-2.47148460863882,-2.825605694405182
chem_mordred_ATSC0d,2.775167323179095,0.815297935738296,1.6572579718256164
chem_mordred_nCl,-2.759299667866931,-0.5495698893106997,0.0
chem_mordred_GGI2,2.649257942611212,2.1685637310257713,2.31237140676203
chem_mordred_ATS4p,2.6283938764001333,0.3383198855968919,0.0
chem_mordred_TMPC10,-2.605115185290461,-0.6800322781635776,-0.7367232822822211
chem_mordred_Xpc-4dv,2.5699767986134496,-1.1199221598609341,-0.13239361635870356
chem_mordred_Xpc-5dv,-2.561288130694034,0.5915933010795699,0.023422987740909333
chem_mordred_ATS2d,-0.6167307925886439,-1.2216595863064836,-2.415645988018644
chem_mordred_ATS3pe,-2.2110837089894932,0.4641322432548126,0.3110337508192202
chem_mordred_Xp-7d,0.9452882097923535,1.9692898430059789,2.0132401466996463
chem_mordred_ATS3d,-1.060556761131532,-1.771967377989235,-1.9865389077187536
chem_mordred_ATS5v,-1.9129912075700202,-0.8396784432148878,-0.5271149169276664
